year,MSW_Q05raw,MSW_Q25raw,MSW_Q50raw,MSW_Q75raw,MSW_Q95raw,1SW_Q05raw,1SW_Q25raw,1SW_Q50raw,1SW_Q75raw,1SW_Q95raw,northern_mnwinlen,northern_mnwinsrt,northern_mnwinend,northern_mnsumlen,northern_mnsumsrt,northern_mnsumend,southern_mnwinlen,southern_mnwinsrt,southern_mnwinend,southern_mnsumlen,southern_mnsumsrt,southern_mnsumend,meanyearflow,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,meanwinterflow,meanspringflow,meansummerflow,meanfallflow,Q05,Q10,Q15,Q20,Q25,Q30,Q35,Q40,Q45,Q50,Q55,Q60,Q65,Q70,Q75,Q80,Q85,Q90,Q95,djf,mam,jja,son,january,february,march,april,may,june,july,august,september,october,november,december,rivsumsrt,rivsumend,rivsumlen,northern_mnsumlen_lag,wscv,sprinfl
1993,165,174,182,204,267,183,200,210,258,288,155,-22.910310142497902,131.72506286672254,54,212.01005867560772,266.0016764459346,117,7.622222222222222,124.64126984126985,51,211.0047619047619,261.9761904761905,11856.401826484018,4802.193548387097,3942.9761904761904,6390.043010752688,42469.444444444445,17267.52688172043,11653.4,6377.182795698925,4355.225806451613,5469.933333333333,9083.139784946236,11240.711111111112,19214.322580645163,5081.8074074074075,23725.040293040292,5400.028985507246,13200.463768115942,49,88,99,104,108,111,115,120,130,143,160,180,212,260,290,311,330,345,354,0.513481612028905,7.238217602605414,22.34057971014493,10.727326970921345,0.3107792433872067,0,1.150202425064584,6.7586581420898675,13.790322580645162,19.15,23.865591397849464,23.903225806451612,19.35,9.055980928482562,3.831711519029424,1.1799738237934851,174,252,79,41,108,72
1994,159,169,177,195,237,177,192,199,218,256,148,-10.238893545683151,138.10393964794636,71,204.22967309304275,274.74685666387256,114,5.76031746031746,120.2809523809524,64,192.62698412698413,257.2079365079365,11397.735159817352,7387.978494623656,7225.261904761905,8049.956989247312,41380.311111111114,27600.64516129032,8706.244444444445,6418.8387096774195,4848.129032258064,4993.6,5695.698924731183,7538.577777777778,7073.075268817204,7565.37037037037,25914.468864468865,5424.826086956522,6760.753623188406,29,57,85,99,104,108,111,115,119,124,130,136,145,166,192,230,273,308,336,0.42370394953975327,6.323226659975511,22.66304347826087,10.564892822936354,0.06727145615444523,0.2735861551193973,1.4694770402805926,6.593346403186473,10.915570076563046,20.916666666666668,24.629032258064516,22.387096774193548,17.45,9.4977866191249,4.78246205647788,0.9157267088531248,166,235,70,54,110,70
1995,152,163,171,192,256,174,200,202,255,283,137,-17.77116512992456,118.9815590947192,50,210.48281642917016,260.0896898575021,130,1.2825396825396824,131.14285714285714,50,204.0095238095238,254.47619047619048,9943.704109589042,11522.451612903224,6777.976190476191,11513.010752688171,18939.333333333332,14479.139784946236,8698.666666666666,4260.064516129032,3556.9032258064517,3199.6666666666665,6121.8279569892475,22411.533333333333,7972.172043010752,10043.14074074074,14043.882783882784,3677.347826086957,12057.173913043478,20,32,59,79,91,102,111,119,131,144,158,181,224,280,305,315,322,328,341,0.18012500339084392,6.29828241044198,21.646418842370963,10.677713705768523,0.4845431009928417,0.01227670397077369,2.005015654205007,4.805130437215189,12.03653494722101,19.85277799818251,24.011707740701656,21.01691140615813,16.323625920613612,12.69351448141119,2.9488073560926806,0.02731182139407081,174,231,58,71,94,92
1996,155,163,171,184,205,170,183,187,204,215,128,1.672254819782062,130.40821458507963,59,206.91366303436715,265.6219614417435,119,6.06031746031746,124.84285714285714,40,217.7904761904762,257.9904761904762,17538.016393442624,16035.720430107527,21912.528735632182,17854.83870967742,31571.333333333332,32396.129032258064,13467.933333333334,24709.032258064515,7073.720430107527,7790.622222222222,8254.881720430107,9787.91111111111,19640.7311827957,18528.249084249084,25884.153846153848,13249.826086956522,12591.31884057971,27,36,54,66,86,106,115,120,126,136,147,169,191,201,214,260,299,334,349,0.8720054654411449,5.709551964334987,19.69810880301656,9.071505752954742,0.5695161388766443,0.5476867763475497,0.7680518201602515,5.564633139642562,10.791296132405618,18.86558497111003,19.391036462271092,20.810849368187696,16.169309539794934,8.51356809554563,2.550237545437299,1.477889694706105,218,225,7,50,100,85
1997,162,170,174,187,224,173,188,200,221,258,126,6.917854149203688,132.87594300083822,71,205.52053646269908,277.3176865046102,118,13.36031746031746,131.46349206349203,51,209.0015873015873,260.35079365079366,11222.082191780824,9708.68817204301,6931.142857142857,7495.548387096774,27026.666666666668,37574.344086021505,8946.822222222223,6354.580645161291,4490.688172043011,7077.488888888889,5935.333333333333,7710.466666666666,5187.419354838709,8082.259259259259,24659.443223443224,5962.260869565217,6262.166666666667,20,47,76,97,106,113,118,123,127,132,137,142,149,169,194,239,268,302,327,0.08961576391149606,4.7905477546639155,21.375345003432123,9.289241027832045,0.11370958717920544,0.15200903756278145,0.4406863222840065,4.2424938271932735,9.6707839555638,19.267042388916018,23.317782502533287,21.473200357088484,16.28644727071127,8.642323680590575,2.960516043769002,0.00916672573294825,175,228,54,59,116,82
1998,165,172,179,187,197,171,179,185,191,203,122,0.7518860016764459,123.0184409052808,79,193.52388935456833,273.40150880134115,110,5.5968253968253965,115.66190476190476,54,201.8190476190476,256.3968253968254,13509.826484018266,6106.344086021505,10489.642857142857,27652.25806451613,41229.333333333336,17229.41935483871,14131.822222222225,13094.172043010753,5492.344086021505,5303.022222222222,7443.075268817204,7488.666666666667,6620.817204301075,14891.407407407409,24120.29304029304,7992.094202898551,7180.876811594203,40,60,69,78,88,94,99,105,111,117,125,139,162,177,192,213,260,296,329,0.5154910589147543,8.126098001476514,20.624435322526576,10.119924155434422,0.07791656165994709,0.34928574335007817,2.661627041396285,7.110625607034458,14.57328418198454,17.074959259033207,22.547352132489603,22.136495348202295,17.136447347005216,10.102996629284284,3.120892740885434,1.1031864863570109,185,227,42,71,95,71
1999,150,154,159,165,191,154,162,167,174,230,105,4.647108130762783,109.88935456831516,87,190.6219614417435,277.80050293378036,106,2.858730158730159,108.56984126984128,81,194.57619047619048,275.7396825396825,12847.424657534246,9043.225806451614,11466.90476190476,23167.52688172043,25244.222222222223,9219.096774193547,6899.488888888889,4512.8387096774195,4905.741935483871,14038.577777777778,14858.387096774191,14693.333333333334,16292.150537634408,14662.296296296296,13737.399267399269,7751.449275362319,15287.68115942029,28,48,64,74,86,93,100,109,123,149,183,234,262,273,291,305,319,337,350,0.7101993476020028,7.5227796803350175,22.52285842619081,11.2418921613868,0.25737917500157986,0.31183091118222706,1.764423993838745,5.970241792466925,14.783591387348798,22.25,23.339786463911825,21.969986929944767,19.24098754882813,9.356315588182031,5.191225899590401,1.5228361724525454,165,255,91,79,86,82
2000,146,157,168,176,198,167,181,191,205,278,120,4.293378038558257,123.92036881810562,93,190.16848281642916,283.4685666387259,79,27.415873015873014,106.37142857142857,69,202.6365079365079,271.6904761904762,12993.369763205828,7090.215053763441,6496.206896551724,19138.817204301075,48982.22222222222,27171.182795698925,7544.6,5612.903225806452,4840.387096774193,5245.155555555555,5497.4838709677415,6707.711111111111,11706.83870967742,11005.384615384615,27891.333333333332,5232.68115942029,7984.405797101449,35,66,82,90,95,99,104,108,114,119,125,133,141,154,187,232,278,320,351,0.4397942874894512,7.023644037012361,20.861372624272885,10.4060763180911,0.42741941226426383,0.6180469556786589,3.3381612634146283,6.376514854984028,11.335380857734288,18.79822265625,21.903225806451612,21.81611618534211,17.06495912339953,9.580468479279554,4.600321612887931,0.2854166666666702,175,228,54,87,103,45
2001,146,164,176,188,200,173,184,188,196,288,139,-6.455155071248952,132.74937133277453,72,201.9362950544845,273.8642078792959,118,8.049206349206349,125.8984126984127,63,206.03809523809525,268.73015873015873,7094.016438356164,6948.430107526881,4994.119047619048,5349.591397849463,23422.31111111111,14622.408602150535,6800.288888888889,4163.569892473119,3285.3763440860216,3506.0222222222224,3841.849462365591,3425.0666666666666,4849.096774193548,5789.711111111111,14944.75457875458,3653.2391304347825,4045.340579710145,17,40,67,90,103,109,112,116,119,123,128,137,152,168,197,231,270,303,339,0.6371528851544433,7.183825202610195,22.798759559963063,12.603678921989475,0,0.02229161035446988,0.43112989856351286,5.843879767523896,15.23324189545007,20.829861679077148,22.69712391514932,24.80578025079543,19.62523714701335,12.831587161812736,5.346615515814905,1.8296643410959592,167,251,85,93,111,83
2002,148,156,167,177,220,169,181,193,199,224,126,9.737636211232187,136.25649622799665,64,201.89606035205364,266.4165968147527,90,24.4031746031746,114.4,60,206.3904761904762,265.5174603174603,8712.708675799087,3752.172043010753,4187.214285714286,13840.021505376344,27741.244444444445,11151.05376344086,5997.533333333333,5091.376344086021,4443.204301075269,4648.2,5315.634408602151,8421.888888888889,9910.752688172042,7362.222222222223,14921.384615384615,4728.45652173913,7876.898550724638,46,66,76,89,96,101,106,111,117,128,142,161,191,223,259,290,319,334,352,0.3817178881609948,6.559961955113175,22.209171814849412,10.740505349854416,0.09375041018250474,0.714047477358873,1.528805049773193,6.283546397997009,11.858617786694609,19.127777777777776,23.958831270279425,23.441506588843566,19.206917088826497,9.69959839851626,3.349697460598429,0.36951670492849814,175,248,68,72,100,78
